Country,65+,25-64 years,15-24 years,5-14 years,0-4 years,Total
China,187501470,825714200,160749910,177138190,74789700,1425893500
India,95749030,695659970,254585650,246261830,115307420,1407563900
United States,56207480,175246610,44064944,42314180,19164416,336997630
Indonesia,18559456,141328830,44122208,47328380,22414316,273753180
Pakistan,9768444,89368240,46785260,55875700,29604480,231402110
Brazil,20534732,116867260,32900180,29783427,14240613,214326220
Nigeria,6362815,72930210,41735326,57542174,34830796,213401330
Bangladesh,9868579,81719304,32968586,30136449,14663335,169356240
Russia,22626482,82482720,14281916,17821338,7890302,145102750
Mexico,10305739,63310524,21471972,21724391,9892513,126705140
Japan,37118444,61184310,11637932,10385532,4286304,124612530
Ethiopia,3774984,43125450,25316286,30268396,17797908,120283020
Philippines,6065460,51870776,21054832,22966300,11922968,113880340
Egypt,5216774,49308590,18624606,23743754,12368456,109262184
Vietnam,8531506,53125464,13836744,14606156,7368156,97468024
Democratic Republic of Congo,2840766,30213936,18224676,26916808,17697936,95894120
Iran,6484409,49260896,11242576,14039508,6896044,87923430
Turkey,7103116,44683692,13082896,13295902,6609798,84775410
Germany,18491898,44903092,8442062,7600194,3971312,83408560
Thailand,10390451,41022344,8875066,7934217,3379029,71601100
United Kingdom,12726947,34888824,7782624,8230991,3651653,67281040
France,13760207,31970710,7589239,7803382,3407911,64531450
Tanzania,1982485,21221284,12655372,17191888,10537304,63588332
South Africa,3546982,29463442,9352314,11216860,5812658,59392256
Italy,14028334,31917280,5799731,5334073,2160920,59240336
Myanmar,3565839,27768328,9077959,8894569,4491394,53798090
Kenya,1507360,20129892,11016778,13438482,6913106,53005616
South Korea,8630114,31422410,5613791,4512494,1651329,51830136
Colombia,4492094,27361996,8536965,7455032,3670471,51516560
Spain,9451269,26450400,4886323,4801967,1896972,47486932
Uganda,769051,14236756,10125900,13032382,7689690,45853780
Sudan,1563322,16582108,8753122,11674683,7083969,45657204
Argentina,5352580,22383468,6965561,7242438,3332743,45276788
Algeria,2731079,21871300,6007614,8697129,4870841,44177964
Iraq,1484419,16880658,8573112,10904711,5690693,43533590
Ukraine,7573839,25240526,4090102,4829152,1797803,43531424
Afghanistan,964016,12995277,8727160,10922454,6490554,40099460
Poland,7215740,21451020,3753336,3979216,1908410,38307724
Canada,7066799,20586004,4499140,4101831,1901237,38155012
Morocco,2752911,18466900,5900773,6670701,3285301,37076588
Saudi Arabia,934712,20408822,5194874,6225196,3186791,35950396
Angola,895191,11501196,6518893,9605090,5983405,34503776
Uzbekistan,1697876,16903116,5231833,6401587,3847037,34081452
Peru,2805344,16361687,5671126,5960138,2917169,33715464
Malaysia,2434270,17897224,5533284,5137033,2572061,33573870
Yemen,886890,12210659,6733620,8436417,4714059,32981644
Ghana,1141530,13246926,6212670,7925789,4306121,32833036
Mozambique,830050,10737955,6496314,8752403,5260351,32077074
Nepal,1816733,12992366,6398056,5876105,2951729,30034988
Madagascar,954231,10718597,5850642,7241224,4150958,28915652
Venezuela,2351346,13232072,4672340,5548172,2395933,28199862
Cote d'Ivoire,660329,9643035,5689547,7283291,4202048,27478250
Cameroon,734810,9588516,5334788,7194696,4345822,27198632
North Korea,2949709,14495936,3605032,3221375,1699858,25971910
Australia,4294906,13679232,3184388,3225094,1537474,25921094
Niger,610957,7390821,4901192,7377576,4972176,25252722
Taiwan,3808032,14388027,2636309,2055900,971637,23859904
Burkina Faso,562955,7398879,4394451,6176674,3567731,22100690
Mali,533925,6673811,4315698,6377383,4004173,21904990
Sri Lanka,2429186,10961074,3328547,3492360,1562271,21773438
Syria,985858,8410663,4885800,5149600,1892446,21324366
Malawi,536684,6543526,4225993,5549434,3034104,19889742
Chile,2471958,10771065,2652315,2446815,1151031,19493184
Zambia,338628,6734346,3975624,5351636,3072899,19473132
Romania,3657665,10519121,2054027,2068563,1029182,19328558
Kazakhstan,1526067,9569781,2431406,3660543,2008671,19196468
Ecuador,1360115,8641722,3151109,3152360,1492429,17797736
Guatemala,862895,7270176,3676992,3871062,1927358,17608484
Netherlands,3491836,9155907,2140725,1847536,865692,17501696
Chad,347091,5284441,3360446,4970083,3217682,17179744
Somalia,443129,5170372,3388217,4863739,3200132,17065588
Senegal,532887,5965954,3330074,4477046,2570765,16876726
Cambodia,917741,8055439,2755375,3247412,1613064,16589031
Zimbabwe,537915,5572892,3342436,4240570,2299712,15993525
Guinea,454099,4634020,2782922,3564287,2096581,13531909
Rwanda,423210,5068963,2734501,3346584,1888633,13461891
Benin,399839,4546362,2516881,3397149,2136670,12996901
Burundi,310795,4118387,2311642,3756566,2053825,12551215
Tunisia,1078848,6485677,1642651,2020951,1034822,12262949
